posteam,season,week,punt_net_yards,field_goal_make_pct,kick_return_avg,punt_return_avg
CIN,2022,18,47.714287,1.0,9.6,4.0
CIN,2022,19,47.333332,1.0,10.5,3.0
CIN,2022,20,30.25,1.0,7.0,6.25
CIN,2022,21,47.75,1.0,8.0,1.25
CIN,2023,1,37.47143,0.5,7.5,3.4285715
CIN,2023,2,-0.5,1.0,0.0,40.5
CIN,2023,3,34.7,0.8,0.0,7.5
CIN,2023,4,50.4,1.0,4.1666665,1.0
CIN,2023,5,31.333332,1.0,0.0,17.0
CIN,2023,6,45.333336,1.0,6.75,0.33333334
CIN,2023,8,44.0,0.5,13.25,2.6666667
CIN,2023,9,35.666664,1.0,15.25,3.6666667
CIN,2023,10,49.8,1.0,4.1666665,2.0
CIN,2023,11,37.4,0.6666666666666666,0.0,6.0
CIN,2023,12,41.833332,1.0,13.2,0.0
CIN,2023,13,30.8,0.6666666666666666,6.8333335,2.2
CIN,2023,14,33.75,1.0,0.0,3.0
CIN,2023,15,42.0,1.0,0.0,6.0
CIN,2023,16,43.0,1.0,0.0,1.0
CIN,2023,17,46.5,1.0,0.0,1.0
CIN,2023,18,41.809525,1.0,14.666667,3.857143
CIN,2024,1,60.1,1.0,0.0,4.4
CIN,2024,2,44.5,1.0,9.6,4.5
CIN,2024,4,55.166668,1.0,21.2,1.5
CIN,2024,5,46.266666,0.0,3.375,4.3333335
CIN,2024,6,43.083332,1.0,15.5,3.25
CIN,2024,7,38.67857,0.0,50.0,5.571429
CIN,2024,9,53.13333,1.0,8.6,5.2
CIN,2024,10,42.13333,0.7291666666666666,2.8333333,-0.8
CIN,2024,11,44.333332,0.5,10.833333,5.6666665
CIN,2024,13,43.5,1.0,18.25,0.0
CIN,2024,14,34.083332,1.0,13.4,6.25
CIN,2024,15,21.0,1.0,8.0,15.0
CIN,2024,16,45.25,0.5,24.5,6.25
CIN,2024,17,46.0,0.5,16.333334,1.0
CIN,2024,18,43.86667,1.0,33.25,4.8
CIN,2025,1,41.166668,1.0,17.5,11.5
CIN,2025,2,49.833332,1.0,25.666666,5.5
CIN,2025,3,52.86667,1.0,18.625,1.8
CIN,2025,4,46.375,1.0,9.6,4.0
CIN,2025,5,53.8,1.0,25.666666,1.2
CIN,2025,6,46.25,0.3333333333333333,15.0,6.5
CIN,2025,7,45.0,1.0,21.333334,0.0
CIN,2025,8,58.0,1.0,16.285715,0.0
CLE,2022,1,40.95,1.0,5.8,5.8
CLE,2022,2,48.75,1.0,13.4,3.25
