passer,season,week,completion_pct_clean,completion_pct_pressure,epa_clean,epa_pressure,int_rate_clean,int_rate_pressure,plays_clean,plays_pressure,sack_rate_clean,sack_rate_pressure,scramble_rate_clean,scramble_rate_pressure,td_rate_clean,td_rate_pressure,yards_per_att_clean,yards_per_att_pressure
B.Young,2023,1,0.5714285714285714,0.0,-0.12915286,-0.91103333,0.05714285714285714,0.0,35.0,7.0,0.0,0.2857142857142857,0.05714285714285714,0.0,0.02857142857142857,0.0,4.742857142857143,-2.7142857142857144
B.Young,2023,2,0.59375,0.375,0.052127607,-1.2372653,0.0,0.0,32.0,8.0,0.0,0.5,0.0625,0.0,0.03125,0.0,5.5,-0.125
B.Young,2023,4,0.7575757575757576,0.0,0.22131051,-3.3314698,0.0,0.0,33.0,6.0,0.0,0.8333333333333334,0.06060606060606061,0.0,0.0,0.16666666666666666,6.484848484848484,-9.166666666666666
B.Young,2023,5,0.6756756756756757,0.0,0.18522604,-1.1837502,0.05405405405405406,0.0,37.0,6.0,0.0,0.16666666666666666,0.02702702702702703,0.0,0.08108108108108109,0.0,6.783783783783784,-0.6666666666666666
B.Young,2023,6,0.6666666666666666,0.1111111111111111,-0.045428697,-1.051883,0.0,0.0,33.0,9.0,0.0,0.4444444444444444,0.0,0.0,0.030303030303030304,0.0,5.757575757575758,-1.0
B.Young,2023,8,0.625,0.25,0.19569162,-0.7400638,0.0,0.0,32.0,8.0,0.0,0.75,0.09375,0.0,0.03125,0.0,6.84375,-3.25
B.Young,2023,9,0.5238095238095238,0.3333333333333333,-0.35284156,-1.0304842,0.07142857142857142,0.0,42.0,6.0,0.0,0.6666666666666666,0.11904761904761904,0.0,0.07142857142857142,0.0,4.880952380952381,-4.5
B.Young,2023,10,0.5428571428571428,0.2222222222222222,0.13563626,-0.8013323,0.0,0.0,35.0,9.0,0.0,0.3333333333333333,0.08571428571428572,0.0,0.0,0.0,5.514285714285714,-0.5555555555555556
B.Young,2023,11,0.5925925925925926,0.0,-0.08548426,-1.6535298,0.037037037037037035,0.0,27.0,10.0,0.0,0.7,0.037037037037037035,0.0,0.07407407407407407,0.0,4.703703703703703,-4.6
B.Young,2023,12,0.5625,0.0,0.3294905,-1.9868994,0.0,0.0,32.0,6.0,0.0,0.6666666666666666,0.09375,0.0,0.0,0.0,6.78125,-5.333333333333333
B.Young,2023,13,0.5172413793103449,0.0,0.17164125,-1.6747607,0.0,0.16666666666666666,29.0,6.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,6.137931034482759,-4.833333333333333
B.Young,2023,14,0.3333333333333333,0.14285714285714285,-0.33808336,-1.9903638,0.0,0.0,36.0,7.0,0.0,0.5714285714285714,0.08333333333333333,0.0,0.0,0.0,4.527777777777778,-3.4285714285714284
B.Young,2023,15,0.7391304347826086,0.2,0.009514298,-0.57881534,0.0,0.0,23.0,5.0,0.0,0.6,0.043478260869565216,0.0,0.0,0.0,7.173913043478261,0.2
B.Young,2023,16,0.6333333333333333,0.4444444444444444,0.4270964,0.029655728,0.0,0.0,30.0,9.0,0.0,0.2222222222222222,0.06666666666666667,0.0,0.03333333333333333,0.1111111111111111,9.066666666666666,4.444444444444445
B.Young,2023,17,0.5483870967741935,0.25,-0.50102466,-0.8941053,0.03225806451612903,0.0,31.0,8.0,0.0,0.75,0.03225806451612903,0.0,0.0,0.0,3.0,-3.0
B.Young,2023,18,0.5555555555555556,0.2,-0.011090232,-2.2857742,0.0,0.0,18.0,5.0,0.0,0.6,0.1111111111111111,0.0,0.0,0.0,6.333333333333333,-4.4
B.Young,2024,1,0.40625,0.0,-0.16455616,-1.5545932,0.03125,0.16666666666666666,32.0,6.0,0.0,0.6666666666666666,0.125,0.0,0.03125,0.0,5.40625,-4.333333333333333
B.Young,2024,8,0.6388888888888888,0.2,-0.04335858,-0.27883938,0.05555555555555555,0.0,36.0,5.0,0.0,0.4,0.05555555555555555,0.0,0.027777777777777776,0.2,6.277777777777778,-0.6
B.Young,2024,12,0.5588235294117647,0.3333333333333333,0.26364335,-0.27107084,0.0,0.0,34.0,6.0,0.0,0.3333333333333333,0.08823529411764706,0.0,0.029411764705882353,0.0,7.529411764705882,2.1666666666666665
B.Young,2024,13,0.5897435897435898,0.2727272727272727,0.24495149,-0.26397163,0.0,0.0,39.0,11.0,0.0,0.09090909090909091,0.07692307692307693,0.0,0.05128205128205128,0.0,6.846153846153846,3.5454545454545454
B.Young,2024,14,0.5151515151515151,0.25,0.26206315,-0.4957475,0.030303030303030304,0.0,33.0,8.0,0.0,0.125,0.18181818181818182,0.0,0.030303030303030304,0.0,6.03030303030303,1.875
B.Young,2024,15,0.6666666666666666,0.1,0.010151881,-1.3993045,0.037037037037037035,0.1,27.0,10.0,0.0,0.6,0.1111111111111111,0.0,0.037037037037037035,0.1,5.481481481481482,3.9
B.Young,2024,17,0.4642857142857143,0.2857142857142857,0.26334715,-1.2551537,0.0,0.0,28.0,7.0,0.0,0.7142857142857143,0.07142857142857142,0.0,0.07142857142857142,0.0,6.821428571428571,-2.5714285714285716
B.Zappe,2023,13,0.48148148148148145,0.0,0.0042603635,-2.0715427,0.0,0.0,27.0,6.0,0.0,0.8333333333333334,0.1111111111111111,0.0,0.0,0.0,5.7407407407407405,-5.333333333333333
B.Zappe,2023,15,0.7586206896551724,0.16666666666666666,-0.25978285,-0.897432,0.034482758620689655,0.0,29.0,6.0,0.0,0.6666666666666666,0.0,0.0,0.034482758620689655,0.0,5.896551724137931,-2.8333333333333335
B.Zappe,2023,16,0.7666666666666667,0.4,0.20730852,-0.78232336,0.0,0.0,30.0,5.0,0.0,0.4,0.03333333333333333,0.0,0.03333333333333333,0.2,7.8,-0.4
B.Zappe,2023,17,0.5652173913043478,0.375,-0.44819114,-0.32515308,0.13043478260869565,0.0,23.0,8.0,0.0,0.375,0.08695652173913043,0.0,0.08695652173913043,0.0,8.91304347826087,2.625
B.Zappe,2023,18,0.3793103448275862,0.1,-0.5142204,-1.4486367,0.06896551724137931,0.0,29.0,10.0,0.0,0.7,0.06896551724137931,0.0,0.0,0.0,3.3793103448275863,-5.5
C.Beathard,2023,17,0.6521739130434783,0.3333333333333333,0.503469,-0.67089766,0.0,0.0,23.0,6.0,0.0,0.5,0.08695652173913043,0.0,0.0,0.0,8.391304347826088,-1.0
C.Keenum,2023,15,0.6764705882352942,0.0,0.117237024,-1.3040228,0.029411764705882353,0.0,34.0,5.0,0.0,0.6,0.0,0.0,0.058823529411764705,0.0,6.735294117647059,-5.4
C.Keenum,2023,16,0.6666666666666666,0.2,-0.7318195,-1.4279964,0.06666666666666667,0.2,15.0,5.0,0.0,0.6,0.0,0.0,0.0,0.0,3.7333333333333334,-5.4
C.McCoy,2022,10,0.7272727272727273,0.2857142857142857,0.2912918,-0.64192694,0.0,0.0,33.0,7.0,0.0,0.2857142857142857,0.030303030303030304,0.0,0.030303030303030304,0.0,6.212121212121212,2.4285714285714284
C.McCoy,2022,11,0.6666666666666666,0.4444444444444444,-0.08016197,-0.25926316,0.03333333333333333,0.0,30.0,9.0,0.0,0.3333333333333333,0.06666666666666667,0.0,0.0,0.0,6.033333333333333,1.5555555555555556
C.McCoy,2022,14,0.6190476190476191,0.125,-0.104770936,-2.9540355,0.0,0.125,42.0,8.0,0.0,0.75,0.09523809523809523,0.0,0.0,0.125,6.333333333333333,-5.125
C.McCoy,2022,15,0.631578947368421,0.2,-0.13242882,-1.1775991,0.0,0.2,19.0,5.0,0.0,0.4,0.05263157894736842,0.0,0.0,0.0,3.8947368421052633,0.2
C.Rush,2022,2,0.6296296296296297,0.4,0.13948075,-0.31295395,0.0,0.0,27.0,5.0,0.0,0.2,0.037037037037037035,0.0,0.037037037037037035,0.0,8.185185185185185,2.2
C.Rush,2022,5,0.75,0.14285714285714285,0.15860395,-1.2244074,0.0,0.0,12.0,7.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,7.583333333333333,-2.142857142857143
C.Rush,2024,11,0.5740740740740741,0.14285714285714285,0.062180918,-2.5390465,0.018518518518518517,0.0,54.0,7.0,0.0,0.7142857142857143,0.018518518518518517,0.0,0.018518518518518517,0.14285714285714285,6.425925925925926,-3.5714285714285716
