posteam,season,start_yardline_bucket,td_prob,fg_prob,punt_prob,turnover_prob,downs_prob,end_half_prob,total_drives
DAL,2025,own_20,0.0,0.2222222222222222,0.38888888888888884,0.0,0.0,0.38888888888888884,10
DEN,2022,opp_35,0.014939309056956115,0.12644724556489262,0.43069561157796454,0.10294117647058823,0.03839869281045751,0.28657796451914097,93
DEN,2022,own_20,0.0,0.1388888888888889,0.5925925925925926,0.1388888888888889,0.05555555555555555,0.07407407407407407,29
DEN,2022,own_10,0.0,0.07619047619047618,0.6619047619047619,0.11904761904761904,0.03571428571428571,0.10714285714285714,27
DEN,2023,opp_35,0.008928571428571428,0.14397321428571427,0.48139880952380953,0.08288690476190476,0.017708333333333333,0.26510416666666664,93
DEN,2023,own_20,0.0,0.4583333333333333,0.2708333333333333,0.1875,0.08333333333333333,0.0,14
DEN,2024,opp_35,0.0,0.1359375,0.46175595238095235,0.0859375,0.033482142857142856,0.28288690476190476,82
DEN,2024,own_35,0.0,0.16666666666666666,0.4375,0.08333333333333333,0.0,0.3125,13
DEN,2024,own_20,0.0,0.31333333333333335,0.38,0.05,0.09,0.16666666666666666,19
DEN,2024,own_10,0.0,0.13333333333333333,0.39999999999999997,0.13333333333333333,0.0,0.3333333333333333,15
DEN,2025,opp_35,0.0,0.15952380952380954,0.41122448979591836,0.0880952380952381,0.023809523809523808,0.31734693877551023,38
DEN,2025,own_20,0.0,0.14666666666666667,0.44666666666666666,0.05,0.0,0.35666666666666663,19
DET,2022,opp_35,0.014285714285714285,0.1403361344537815,0.25126050420168067,0.08095238095238096,0.14593837535014006,0.36722689075630255,96
DET,2022,own_20,0.0,0.14583333333333331,0.5416666666666666,0.16666666666666666,0.0,0.14583333333333331,14
DET,2023,opp_35,0.016666666666666666,0.059583333333333335,0.27672619047619046,0.11148809523809525,0.08958333333333332,0.445952380952381,113
DET,2023,own_20,0.0,0.3833333333333333,0.45,0.0,0.0,0.16666666666666666,16
DET,2023,own_10,0.0,0.06666666666666667,0.6133333333333333,0.13333333333333333,0.08,0.10666666666666666,17
DET,2024,opp_35,0.025560224089635854,0.10441176470588234,0.24208683473389356,0.08704481792717088,0.06722689075630252,0.47366946778711483,91
DET,2024,own_20,0.0,0.2533333333333333,0.18666666666666668,0.0,0.08,0.48,19
DET,2024,own_10,0.0,0.09722222222222221,0.47222222222222215,0.0,0.0,0.4305555555555555,20
DET,2025,opp_35,0.0,0.08333333333333333,0.38611111111111107,0.027777777777777776,0.05555555555555555,0.4472222222222222,30
GB,2022,opp_35,0.00980392156862745,0.15490196078431373,0.31029411764705883,0.09313725490196079,0.08235294117647059,0.3495098039215686,89
GB,2022,own_20,0.06666666666666667,0.06666666666666667,0.5199999999999999,0.04,0.06666666666666667,0.24,17
GB,2023,opp_35,0.0,0.10985449735449736,0.32572751322751325,0.11812169312169313,0.04735449735449735,0.39894179894179893,96
GB,2023,own_35,0.0,0.17777777777777778,0.5333333333333333,0.0,0.0,0.2888888888888889,11
GB,2023,own_10,0.0,0.29166666666666663,0.375,0.08333333333333333,0.0,0.25,13
GB,2024,opp_35,0.011764705882352941,0.14089635854341737,0.3894957983193277,0.09607843137254901,0.04313725490196079,0.3186274509803922,84
GB,2024,own_20,0.0,0.16666666666666666,0.3333333333333333,0.08333333333333333,0.0,0.41666666666666663,12
GB,2024,own_10,0.05,0.18333333333333332,0.4133333333333333,0.04,0.05,0.2633333333333333,19
GB,2025,opp_35,0.0,0.14676870748299317,0.2369047619047619,0.10374149659863945,0.05952380952380952,0.4530612244897959,37
HOU,2022,opp_35,0.037815126050420166,0.14516806722689077,0.42703081232492995,0.10490196078431371,0.0765406162464986,0.20854341736694676,92
HOU,2022,own_20,0.047619047619047616,0.16666666666666666,0.5714285714285714,0.047619047619047616,0.03571428571428571,0.13095238095238096,24
HOU,2022,own_10,0.125,0.0625,0.525,0.0,0.05,0.2375,17
HOU,2023,opp_35,0.0,0.08518518518518518,0.4963624338624339,0.053240740740740734,0.06878306878306878,0.29642857142857143,93
HOU,2023,own_20,0.025,0.11875,0.4875,0.09375,0.03125,0.24375,30
HOU,2023,own_10,0.0,0.20833333333333331,0.6458333333333333,0.0,0.0,0.14583333333333331,13
HOU,2024,opp_35,0.0,0.20664160401002507,0.3269423558897243,0.106265664160401,0.045739348370927316,0.3144110275689223,98
HOU,2024,own_20,0.0,0.16666666666666666,0.5104166666666666,0.041666666666666664,0.0,0.28125,25
HOU,2024,own_10,0.0,0.0,0.5583333333333333,0.18333333333333335,0.05,0.20833333333333331,15
HOU,2025,opp_35,0.0,0.3055555555555555,0.3194444444444444,0.18055555555555555,0.027777777777777776,0.16666666666666666,26
IND,2022,opp_35,0.014939309056956115,0.1512605042016807,0.4433239962651727,0.15938375350140058,0.06526610644257703,0.16582633053221288,95
IND,2022,own_20,0.0,0.1285714285714286,0.3547619047619048,0.11190476190476191,0.13095238095238096,0.2738095238095238,26
IND,2022,own_10,0.0,0.14583333333333331,0.4375,0.0625,0.0,0.35416666666666663,14
IND,2023,opp_35,0.011764705882352941,0.20049019607843135,0.3670168067226891,0.06932773109243698,0.06974789915966387,0.28165266106442577,99
IND,2023,own_20,0.0,0.05555555555555555,0.3611111111111111,0.2222222222222222,0.05555555555555555,0.3055555555555555,20
IND,2023,own_10,0.0,0.0,0.5208333333333333,0.0625,0.08333333333333333,0.3333333333333333,15
IND,2024,opp_35,0.00980392156862745,0.20623249299719887,0.27009803921568626,0.16435574229691877,0.06134453781512604,0.28816526610644255,98
IND,2024,own_20,0.0,0.19047619047619047,0.41666666666666663,0.11904761904761904,0.03571428571428571,0.23809523809523808,26
IND,2024,own_10,0.0,0.0,0.7095238095238096,0.09523809523809523,0.0,0.19523809523809524,27
IND,2025,opp_35,0.0,0.20476190476190473,0.29047619047619044,0.047619047619047616,0.028571428571428574,0.42857142857142855,34
IND,2025,own_10,0.0,0.08333333333333333,0.2222222222222222,0.1111111111111111,0.08333333333333333,0.5,10
JAX,2022,opp_35,0.0,0.178828197945845,0.31519607843137254,0.1715219421101774,0.07726423902894491,0.2571895424836601,95
JAX,2022,own_20,0.0,0.28125,0.16666666666666666,0.08333333333333333,0.03125,0.4375,25
JAX,2022,own_10,0.0,0.06666666666666667,0.3866666666666666,0.13333333333333333,0.06666666666666667,0.3466666666666667,17
JAX,2023,opp_35,0.0,0.11507936507936507,0.35952380952380947,0.19603174603174603,0.09126984126984126,0.23809523809523808,80
JAX,2023,own_35,0.05555555555555555,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.1111111111111111,0.4166666666666667,13
JAX,2023,own_20,0.0,0.11666666666666665,0.5199999999999999,0.06666666666666667,0.05,0.24666666666666667,19
JAX,2023,own_10,0.0,0.2708333333333333,0.3958333333333333,0.25,0.0,0.08333333333333333,13
JAX,2024,opp_35,0.0,0.18305322128851542,0.3783846872082166,0.13487394957983193,0.06746031746031746,0.23622782446311857,98
JAX,2024,own_20,0.0,0.14583333333333331,0.5208333333333333,0.08333333333333333,0.0,0.25,13
JAX,2024,own_10,0.0,0.041666666666666664,0.32499999999999996,0.13958333333333334,0.11458333333333333,0.37916666666666665,28
JAX,2025,opp_35,0.0,0.23605442176870747,0.38945578231292516,0.028571428571428574,0.09523809523809523,0.2506802721088435,36
JAX,2025,own_10,0.0,0.0,0.4375,0.14583333333333331,0.0,0.41666666666666663,14
KC,2022,opp_35,0.007518796992481203,0.1656641604010025,0.2675438596491228,0.08646616541353383,0.015037593984962405,0.45776942355889727,101
KC,2022,own_20,0.0,0.17333333333333334,0.33999999999999997,0.20666666666666664,0.0,0.27999999999999997,23
KC,2022,own_10,0.0,0.08333333333333333,0.6388888888888888,0.0,0.0,0.27777777777777773,11
KC,2023,opp_35,0.018333333333333333,0.20833333333333334,0.25166666666666665,0.17666666666666667,0.05083333333333333,0.2941666666666667,91
KC,2023,own_35,0.0,0.35555555555555557,0.18888888888888888,0.12222222222222223,0.05555555555555555,0.27777777777777773,14
KC,2023,own_20,0.0,0.12380952380952381,0.5928571428571429,0.17142857142857143,0.0,0.11190476190476191,26
KC,2023,own_10,0.041666666666666664,0.17083333333333334,0.5291666666666667,0.0,0.041666666666666664,0.21666666666666667,31
KC,2024,opp_35,0.01388888888888889,0.21261904761904762,0.30103174603174604,0.11031746031746033,0.022698412698412697,0.33944444444444444,101
KC,2024,own_35,0.0,0.48333333333333334,0.21666666666666667,0.0,0.0,0.3,12
KC,2024,own_20,0.0,0.0625,0.6083333333333334,0.0,0.05,0.2791666666666667,17
KC,2024,own_10,0.0,0.0,0.75,0.08333333333333333,0.08333333333333333,0.08333333333333333,12
KC,2025,opp_35,0.027777777777777776,0.19166666666666665,0.27777777777777773,0.0,0.08333333333333333,0.41944444444444445,28
LA,2022,opp_35,0.020168067226890758,0.15602240896358543,0.4322128851540616,0.13249299719887955,0.00980392156862745,0.24929971988795518,93
