game_id,season,week,gameday,away_team,home_team,away_ol_grade,home_ol_grade,away_dl_grade,home_dl_grade,pressure_edge_away,pressure_edge_home,net_pressure_advantage,spread_line,total_line,away_score,home_score,actual_spread,point_differential,spread_result,total_result
2022_07_IND_TEN,2022,7,2022-10-23,IND,TEN,62.9,52.4,62.5,71.8,10.100000000000001,8.899999999999999,-1.2000000000000028,2.5,43.0,10.0,19.0,9.0,9.0,HOME_COVER,UNDER
2022_07_GB_WAS,2022,7,2022-10-23,GB,WAS,77.6,61.7,71.5,71.9,9.799999999999997,-5.699999999999989,-15.499999999999986,-4.0,41.5,21.0,23.0,2.0,2.0,HOME_COVER,OVER
2022_07_NYJ_DEN,2022,7,2022-10-23,NYJ,DEN,59.2,66.9,81.6,66.4,14.699999999999989,7.200000000000003,-7.499999999999986,-2.0,37.0,16.0,9.0,-7.0,-7.0,AWAY_COVER,UNDER
2022_07_SEA_LAC,2022,7,2022-10-23,SEA,LAC,64.2,67.0,65.1,68.2,-1.9000000000000057,4.0,5.900000000000006,5.5,51.5,37.0,23.0,-14.0,-14.0,AWAY_COVER,OVER
2022_07_KC_SF,2022,7,2022-10-23,KC,SF,73.6,74.4,75.3,76.4,0.8999999999999915,2.8000000000000114,1.90000000000002,-1.0,49.0,44.0,23.0,-21.0,-21.0,AWAY_COVER,OVER
2022_07_PIT_MIA,2022,7,2022-10-23,PIT,MIA,69.5,59.2,67.6,80.4,8.399999999999991,10.900000000000006,2.500000000000014,7.5,44.5,10.0,16.0,6.0,6.0,AWAY_COVER,UNDER
2022_07_CHI_NE,2022,7,2022-10-24,CHI,NE,68.2,72.5,52.2,73.5,-20.299999999999997,5.299999999999997,25.599999999999994,9.5,40.0,33.0,14.0,-19.0,-19.0,AWAY_COVER,OVER
2022_08_DEN_JAX,2022,8,2022-10-30,DEN,JAX,66.9,72.8,66.4,76.5,-6.3999999999999915,9.599999999999994,15.999999999999986,1.0,41.0,21.0,17.0,-4.0,-4.0,AWAY_COVER,UNDER
2022_08_CAR_ATL,2022,8,2022-10-30,CAR,ATL,72.8,73.2,68.2,54.1,-5.0,-18.699999999999996,-13.699999999999996,4.5,41.0,34.0,37.0,3.0,3.0,AWAY_COVER,OVER
2022_08_CHI_DAL,2022,8,2022-10-30,CHI,DAL,68.2,69.6,52.2,84.5,-17.39999999999999,16.299999999999997,33.69999999999999,10.5,43.0,29.0,49.0,20.0,20.0,HOME_COVER,OVER
2022_08_MIA_DET,2022,8,2022-10-30,MIA,DET,59.2,63.4,80.4,71.2,17.000000000000007,12.0,-5.000000000000007,-3.5,52.0,31.0,27.0,-4.0,-4.0,AWAY_COVER,OVER
2022_08_LV_NO,2022,8,2022-10-30,LV,NO,73.0,61.7,69.4,67.0,7.700000000000003,-6.0,-13.700000000000003,-1.0,48.5,0.0,24.0,24.0,24.0,HOME_COVER,UNDER
2022_08_NE_NYJ,2022,8,2022-10-30,NE,NYJ,72.5,59.2,73.5,81.6,14.299999999999997,9.099999999999994,-5.200000000000003,-3.0,40.0,22.0,17.0,-5.0,-5.0,AWAY_COVER,UNDER
2022_08_PIT_PHI,2022,8,2022-10-30,PIT,PHI,69.5,84.9,67.6,90.1,-17.30000000000001,20.599999999999994,37.900000000000006,11.0,43.0,13.0,35.0,22.0,22.0,HOME_COVER,OVER
2022_08_WAS_IND,2022,8,2022-10-30,WAS,IND,61.7,62.9,71.9,62.5,9.000000000000007,0.7999999999999972,-8.20000000000001,3.0,40.5,17.0,16.0,-1.0,-1.0,AWAY_COVER,UNDER
2022_08_SF_LA,2022,8,2022-10-30,SF,LA,74.4,62.0,76.4,67.1,14.400000000000006,-7.300000000000011,-21.700000000000017,-1.0,42.0,31.0,14.0,-17.0,-17.0,AWAY_COVER,OVER
2022_08_NYG_SEA,2022,8,2022-10-30,NYG,SEA,62.0,64.2,68.8,65.1,4.599999999999994,3.0999999999999943,-1.5,3.0,44.5,13.0,27.0,14.0,14.0,HOME_COVER,UNDER
2022_08_GB_BUF,2022,8,2022-10-30,GB,BUF,77.6,64.1,71.5,78.8,7.400000000000006,1.2000000000000028,-6.200000000000003,10.5,47.0,17.0,27.0,10.0,10.0,AWAY_COVER,UNDER
2022_09_LAC_ATL,2022,9,2022-11-06,LAC,ATL,67.0,73.2,68.2,54.1,-5.0,-12.899999999999999,-7.899999999999999,-2.5,49.5,20.0,17.0,-3.0,-3.0,AWAY_COVER,UNDER
2022_09_MIA_CHI,2022,9,2022-11-06,MIA,CHI,59.2,68.2,80.4,52.2,12.200000000000003,-7.0,-19.200000000000003,-4.0,46.0,35.0,32.0,-3.0,-3.0,HOME_COVER,OVER
2022_09_CAR_CIN,2022,9,2022-11-06,CAR,CIN,72.8,56.1,68.2,70.8,12.100000000000001,-2.0,-14.100000000000001,7.0,43.0,21.0,42.0,21.0,21.0,HOME_COVER,OVER
2022_09_GB_DET,2022,9,2022-11-06,GB,DET,77.6,63.4,71.5,71.2,8.100000000000001,-6.3999999999999915,-14.499999999999993,-4.0,49.5,9.0,15.0,6.0,6.0,HOME_COVER,UNDER
2022_09_LV_JAX,2022,9,2022-11-06,LV,JAX,73.0,72.8,69.4,76.5,-3.3999999999999915,3.5,6.8999999999999915,-2.5,47.5,20.0,27.0,7.0,7.0,HOME_COVER,UNDER
2022_09_IND_NE,2022,9,2022-11-06,IND,NE,62.9,72.5,62.5,73.5,-10.0,10.600000000000001,20.6,5.0,40.0,3.0,26.0,23.0,23.0,HOME_COVER,UNDER
2022_09_BUF_NYJ,2022,9,2022-11-06,BUF,NYJ,64.1,59.2,78.8,81.6,19.599999999999994,17.5,-2.0999999999999943,-11.0,46.0,17.0,20.0,3.0,3.0,HOME_COVER,UNDER
2022_09_MIN_WAS,2022,9,2022-11-06,MIN,WAS,66.6,61.7,75.2,71.9,13.5,5.300000000000011,-8.199999999999989,-3.0,43.5,20.0,17.0,-3.0,-3.0,AWAY_COVER,UNDER
2022_09_LA_TB,2022,9,2022-11-06,LA,TB,62.0,75.0,67.1,64.3,-7.900000000000006,2.299999999999997,10.200000000000003,3.0,43.0,13.0,16.0,3.0,3.0,AWAY_COVER,UNDER
2022_09_TEN_KC,2022,9,2022-11-06,TEN,KC,52.4,73.6,71.8,75.3,-1.7999999999999972,22.9,24.699999999999996,14.0,45.0,17.0,20.0,3.0,3.0,AWAY_COVER,UNDER
2022_10_ATL_CAR,2022,10,2022-11-10,ATL,CAR,73.2,72.8,54.1,68.2,-18.699999999999996,-5.0,13.699999999999996,-2.5,41.5,15.0,25.0,10.0,10.0,HOME_COVER,UNDER
2022_10_SEA_TB,2022,10,2022-11-13,SEA,TB,64.2,75.0,65.1,64.3,-9.900000000000006,0.09999999999999432,10.0,2.5,45.0,16.0,21.0,5.0,5.0,HOME_COVER,UNDER
2022_10_MIN_BUF,2022,10,2022-11-13,MIN,BUF,66.6,64.1,75.2,78.8,11.100000000000009,12.200000000000003,1.0999999999999943,6.5,47.0,33.0,30.0,-3.0,-3.0,AWAY_COVER,OVER
2022_10_DET_CHI,2022,10,2022-11-13,DET,CHI,63.4,68.2,71.2,52.2,3.0,-11.199999999999996,-14.199999999999996,3.0,48.5,31.0,30.0,-1.0,-1.0,AWAY_COVER,OVER
2022_10_JAX_KC,2022,10,2022-11-13,JAX,KC,72.8,73.6,76.5,75.3,2.9000000000000057,2.5,-0.4000000000000057,10.0,51.5,17.0,27.0,10.0,10.0,AWAY_COVER,UNDER
2022_10_NO_PIT,2022,10,2022-11-13,NO,PIT,61.7,69.5,67.0,67.6,-2.5,5.8999999999999915,8.399999999999991,1.0,39.5,10.0,20.0,10.0,10.0,HOME_COVER,UNDER
2022_10_DEN_TEN,2022,10,2022-11-13,DEN,TEN,66.9,52.4,66.4,71.8,14.000000000000007,4.8999999999999915,-9.100000000000016,2.5,40.0,10.0,17.0,7.0,7.0,HOME_COVER,UNDER
2022_10_IND_LV,2022,10,2022-11-13,IND,LV,62.9,73.0,62.5,69.4,-10.5,6.500000000000007,17.000000000000007,4.5,41.0,25.0,20.0,-5.0,-5.0,AWAY_COVER,OVER
2022_10_DAL_GB,2022,10,2022-11-13,DAL,GB,69.6,77.6,84.5,71.5,6.900000000000006,1.9000000000000057,-5.0,-3.5,44.5,28.0,31.0,3.0,3.0,HOME_COVER,OVER
2022_10_LAC_SF,2022,10,2022-11-13,LAC,SF,67.0,74.4,68.2,76.4,-6.200000000000003,9.400000000000006,15.600000000000009,8.5,45.5,16.0,22.0,6.0,6.0,AWAY_COVER,UNDER
2022_10_WAS_PHI,2022,10,2022-11-14,WAS,PHI,61.7,84.9,71.9,90.1,-13.0,28.39999999999999,41.39999999999999,11.0,43.0,32.0,21.0,-11.0,-11.0,AWAY_COVER,OVER
2022_11_TEN_GB,2022,11,2022-11-17,TEN,GB,52.4,77.6,71.8,71.5,-5.799999999999997,19.1,24.9,3.0,40.5,27.0,17.0,-10.0,-10.0,AWAY_COVER,OVER
2022_11_CHI_ATL,2022,11,2022-11-20,CHI,ATL,68.2,73.2,52.2,54.1,-21.0,-14.100000000000001,6.899999999999999,3.0,48.5,24.0,27.0,3.0,3.0,AWAY_COVER,OVER
2022_11_PHI_IND,2022,11,2022-11-20,PHI,IND,84.9,62.9,90.1,62.5,27.199999999999996,-22.400000000000006,-49.6,-6.5,45.5,17.0,16.0,-1.0,-1.0,HOME_COVER,UNDER
2022_11_NYJ_NE,2022,11,2022-11-20,NYJ,NE,59.2,72.5,81.6,73.5,9.099999999999994,14.299999999999997,5.200000000000003,3.5,38.5,3.0,10.0,7.0,7.0,HOME_COVER,UNDER
2022_11_LA_NO,2022,11,2022-11-20,LA,NO,62.0,61.7,67.1,67.0,5.3999999999999915,5.0,-0.3999999999999915,2.5,39.5,20.0,27.0,7.0,7.0,HOME_COVER,OVER
2022_11_DET_NYG,2022,11,2022-11-20,DET,NYG,63.4,62.0,71.2,68.8,9.200000000000003,5.399999999999999,-3.8000000000000043,3.0,44.0,31.0,18.0,-13.0,-13.0,AWAY_COVER,OVER
2022_11_LV_DEN,2022,11,2022-11-20,LV,DEN,73.0,66.9,69.4,66.4,2.5,-6.599999999999994,-9.099999999999994,2.5,41.5,22.0,16.0,-6.0,-6.0,AWAY_COVER,UNDER
2022_11_DAL_MIN,2022,11,2022-11-20,DAL,MIN,69.6,66.6,84.5,75.2,17.900000000000006,5.6000000000000085,-12.299999999999997,-1.5,48.5,40.0,3.0,-37.0,-37.0,AWAY_COVER,UNDER
