team,season,week,off_epa_per_play,def_epa_per_play,plays_offensive,plays_defensive,data_source
MIN,2022,15,-0.0010980174411088228,0.013278319500386715,1108,1103,rolling
MIN,2022,16,-0.015435607172548771,0.002258828142657876,1224,1208,rolling
MIN,2022,17,-0.01366311963647604,0.0030070915818214417,1314,1292,rolling
MIN,2022,18,-0.026667749509215355,0.008813374675810337,1390,1372,rolling
MIN,2023,1,-0.015493664890527725,0.001934599713422358,1479,1437,previous_season
MIN,2023,2,-0.12052140384912491,-0.04565448686480522,80,86,rolling
MIN,2023,3,-0.01910567842423916,0.04029941186308861,152,184,rolling
MIN,2023,4,-0.01277243159711361,0.04340177774429321,252,264,rolling
MIN,2023,5,-0.026789646595716476,-0.013373264111578465,310,352,rolling
MIN,2023,6,-0.016274116933345795,0.014364481903612614,395,434,rolling
MIN,2023,7,-0.04007219895720482,-0.027140725404024124,470,515,rolling
MIN,2023,8,-0.02548363246023655,-0.022741088643670082,555,583,rolling
MIN,2023,9,-0.014814693480730057,-0.04205050691962242,639,669,rolling
MIN,2023,10,-0.015400574542582035,-0.045749735087156296,731,760,rolling
MIN,2023,11,-0.012653026729822159,-0.04892762377858162,823,842,rolling
MIN,2023,12,-0.016750309616327286,-0.050636835396289825,912,912,rolling
MIN,2023,13,-0.03697333484888077,-0.0607941672205925,978,995,rolling
MIN,2023,14,-0.03697333484888077,-0.0607941672205925,978,995,rolling
MIN,2023,15,-0.05485411360859871,-0.08308129012584686,1067,1059,rolling
MIN,2023,16,-0.044808756560087204,-0.07078169286251068,1151,1145,rolling
MIN,2023,17,-0.041407570242881775,-0.05607851222157478,1220,1245,rolling
MIN,2023,18,-0.04892779514193535,-0.03996611759066582,1290,1331,rolling
MIN,2024,1,-0.04808996990323067,-0.03264310583472252,1381,1404,previous_season
MIN,2024,2,0.09439460188150406,-0.23459869623184204,67,89,rolling
MIN,2024,3,0.019891219213604927,-0.18499484658241272,135,174,rolling
MIN,2024,4,0.05682198330760002,-0.21043826639652252,214,260,rolling
MIN,2024,5,0.040416210889816284,-0.17432217299938202,302,353,rolling
MIN,2024,6,0.014433538541197777,-0.17179885506629944,394,443,rolling
MIN,2024,7,0.014433538541197777,-0.17179885506629944,394,443,rolling
MIN,2024,8,0.013392135500907898,-0.13967512547969818,470,521,rolling
MIN,2024,9,0.02312808483839035,-0.0973004549741745,535,611,rolling
MIN,2024,10,0.0016432469710707664,-0.11571056395769119,620,680,rolling
MIN,2024,11,0.00016400936874561012,-0.12130565941333771,717,735,rolling
MIN,2024,12,0.003085759235545993,-0.12353245913982391,804,809,rolling
MIN,2024,13,0.016688767820596695,-0.1058688536286354,892,904,rolling
MIN,2024,14,0.01659156195819378,-0.09261947125196457,959,1007,rolling
MIN,2024,15,0.037950415164232254,-0.0849083662033081,1039,1098,rolling
MIN,2024,16,0.038665104657411575,-0.09112171083688736,1134,1183,rolling
MIN,2024,17,0.044534776359796524,-0.0822739452123642,1217,1270,rolling
MIN,2024,18,0.03956053406000137,-0.07948333024978638,1308,1347,rolling
MIN,2025,1,0.022886252030730247,-0.07270754873752594,1388,1431,previous_season
MIN,2025,2,-0.06429663300514221,-0.11061524599790573,74,90,rolling
MIN,2025,3,-0.20673345029354095,-0.0521840937435627,139,172,rolling
MIN,2025,4,-0.11511252075433731,-0.19213983416557312,220,247,rolling
MIN,2025,5,-0.0651349350810051,-0.12028590589761734,311,315,rolling
MIN,2025,6,-0.04312392324209213,-0.09557875990867615,390,404,rolling
MIN,2025,7,-0.04312392324209213,-0.09557875990867615,390,404,rolling
MIN,2025,8,-0.0388868972659111,-0.07251089066267014,472,472,rolling
MIN,2025,9,-0.06586115062236786,-0.034334272146224976,538,560,rolling
MIN,2025,10,-0.06586115062236786,-0.034334272146224976,538,560,rolling
MIN,2025,11,-0.06586115062236786,-0.034334272146224976,538,560,rolling
MIN,2025,12,-0.06586115062236786,-0.034334272146224976,538,560,rolling
MIN,2025,13,-0.06586115062236786,-0.034334272146224976,538,560,rolling
MIN,2025,14,-0.06586115062236786,-0.034334272146224976,538,560,rolling
MIN,2025,15,-0.06586115062236786,-0.034334272146224976,538,560,rolling
MIN,2025,16,-0.06586115062236786,-0.034334272146224976,538,560,rolling
MIN,2025,17,-0.06586115062236786,-0.034334272146224976,538,560,rolling
MIN,2025,18,-0.06586115062236786,-0.034334272146224976,538,560,rolling
NE,2022,1,0.0,0.0,0,0,no_data
NE,2022,2,-0.16284091770648956,0.028837602585554123,69,73,rolling
NE,2022,3,-0.07205739617347717,-0.010508090257644653,152,146,rolling
NE,2022,4,-0.06119615584611893,0.05219459533691406,233,222,rolling
NE,2022,5,-0.05216574668884277,0.03311433643102646,310,313,rolling
NE,2022,6,-0.02027898095548153,-0.038070812821388245,383,390,rolling
NE,2022,7,0.009475404396653175,-0.06498554348945618,475,477,rolling
NE,2022,8,-0.02517193742096424,-0.04248041287064552,542,563,rolling
NE,2022,9,-0.028935329988598824,-0.06048471853137016,634,640,rolling
NE,2022,10,-0.05044396594166756,-0.11503739655017853,715,722,rolling
NE,2022,11,-0.05044396594166756,-0.11503739655017853,715,722,rolling
NE,2022,12,-0.06944302469491959,-0.1369105875492096,792,793,rolling
NE,2022,13,-0.05962160974740982,-0.11292977631092072,863,883,rolling
NE,2022,14,-0.06220845505595207,-0.09093931317329407,932,971,rolling
NE,2022,15,-0.0677470862865448,-0.10935434699058533,1009,1060,rolling
NE,2022,16,-0.0728902667760849,-0.10940739512443542,1094,1152,rolling
NE,2022,17,-0.07772348821163177,-0.10517387837171555,1166,1251,rolling
NE,2022,18,-0.07766829431056976,-0.1024133563041687,1241,1343,rolling
NE,2023,1,-0.07241906225681305,-0.0888642892241478,1323,1416,previous_season
NE,2023,2,-0.16645891964435577,-0.05595427751541138,96,83,rolling
NE,2023,3,-0.10391183942556381,0.004194705747067928,183,162,rolling
NE,2023,4,-0.10966438055038452,-0.07505568116903305,275,242,rolling
NE,2023,5,-0.1856212168931961,-0.04018464684486389,349,327,rolling
NE,2023,6,-0.26054149866104126,-0.037570465356111526,421,421,rolling
NE,2023,7,-0.22556336224079132,-0.02945450320839882,496,506,rolling
NE,2023,8,-0.1857019066810608,-0.014968127012252808,571,594,rolling
NE,2023,9,-0.18203477561473846,-0.009649630635976791,641,685,rolling
NE,2023,10,-0.16327473521232605,-0.0015947381034493446,720,779,rolling
NE,2023,11,-0.15186509490013123,-0.0016944396775215864,803,848,rolling
NE,2023,12,-0.15186509490013123,-0.0016944396775215864,803,848,rolling
NE,2023,13,-0.15529723465442657,-0.015801263973116875,884,915,rolling
NE,2023,14,-0.16421101987361908,-0.026699909940361977,961,991,rolling
NE,2023,15,-0.16231486201286316,-0.038393329828977585,1035,1076,rolling
NE,2023,16,-0.17327307164669037,-0.04359584301710129,1105,1157,rolling
NE,2023,17,-0.17213264107704163,-0.055793438106775284,1182,1242,rolling
NE,2023,18,-0.17344118654727936,-0.05796090513467789,1251,1328,rolling
NE,2024,1,-0.1893399953842163,-0.06554631143808365,1324,1409,previous_season
NE,2024,2,0.07777721434831619,-0.03840472176671028,81,61,rolling
NE,2024,3,0.05138124153017998,0.020197397097945213,167,148,rolling
NE,2024,4,-0.023012153804302216,0.05698346346616745,230,234,rolling
NE,2024,5,-0.08524958789348602,0.03777404874563217,311,310,rolling
NE,2024,6,-0.10146709531545639,0.018666625022888184,391,401,rolling
NE,2024,7,-0.12307999283075333,0.03524615243077278,477,485,rolling
NE,2024,8,-0.10869898647069931,0.060616593807935715,554,558,rolling
NE,2024,9,-0.09284531325101852,0.05543869361281395,636,636,rolling
NE,2024,10,-0.09199035912752151,0.0417761392891407,722,728,rolling
NE,2024,11,-0.08656352013349533,0.008233190514147282,800,808,rolling
NE,2024,12,-0.06999586522579193,0.02397829480469227,895,876,rolling
NE,2024,13,-0.08204870671033859,0.024573910981416702,983,960,rolling
NE,2024,14,-0.0684632733464241,0.031236276030540466,1068,1034,rolling
NE,2024,15,-0.0684632733464241,0.031236276030540466,1068,1034,rolling
NE,2024,16,-0.06414935737848282,0.04223710671067238,1133,1117,rolling
NE,2024,17,-0.05681246891617775,0.04415500909090042,1224,1191,rolling
NE,2024,18,-0.06850237399339676,0.059187572449445724,1291,1285,rolling
NE,2025,1,-0.06434961408376694,0.05038931593298912,1370,1368,previous_season
NE,2025,2,-0.04947091266512871,0.08168633282184601,91,80,rolling
NE,2025,3,0.05892280116677284,0.07721085846424103,169,158,rolling
NE,2025,4,0.012257515452802181,0.06537634879350662,252,225,rolling
NE,2025,5,0.061045143753290176,-0.002750846091657877,317,312,rolling
NE,2025,6,0.0625627413392067,0.0019097788026556373,394,394,rolling
