game_id,season,week,away,home,ol_pass_stress_away,ol_pass_stress_home,ol_chaos_index_away,ol_chaos_index_home,stress_diff,away_ol_continuity_full,home_ol_continuity_full,away_ol_continuity_count,home_ol_continuity_count,away_center_missing,home_center_missing,away_left_tackle_missing,home_left_tackle_missing,stress_z_score,spread_home_first,spread_home_last,total_first,total_last,spread_movement,total_movement,days_tracked,away_score,home_score,actual_margin,actual_total,spread_direction,predicted_direction,predicted_spread_close,bet,bet_side,clv,result
2024_04_JAX_HOU,2024,4,JAX,HOU,-8.326672684688674e-17,0.0,3,3,-8.326672684688674e-17,0,0,3,3,0,0,0,0,-1.9675356433901885,-3.5,-5.5,47.5,46.0,-2.0,-1.5,17,20.0,24.0,-4.0,44.0,0,0,-5.0,True,HOME,2.0,WIN
2024_04_PIT_IND,2024,4,PIT,IND,0.0,-5.551115123125783e-17,1,1,5.551115123125783e-17,0,0,4,4,0,0,0,0,1.332403186002306,-1.5,-1.0,44.5,41.0,0.5,-3.5,17,24.0,27.0,-3.0,51.0,1,0,-3.0,True,HOME,-0.5,WIN
2024_04_DEN_NYJ,2024,4,DEN,NYJ,-1.3877787807814457e-17,0.0,0,2,-1.3877787807814457e-17,1,0,5,3,0,0,0,0,-0.3175662286939411,-7.5,-7.5,42.5,38.0,0.0,-4.5,17,10.0,9.0,1.0,19.0,0,1,-6.0,True,AWAY,0.0,WIN
2024_04_PHI_TB,2024,4,PHI,TB,0.0,-2.775557561562892e-17,4,3,2.775557561562892e-17,0,0,1,3,1,0,0,0,0.6724154201238071,3.0,1.0,47.0,47.0,-2.0,0.0,17,16.0,33.0,-17.0,49.0,0,0,1.5,True,HOME,2.0,WIN
2024_04_WAS_ARI,2024,4,WAS,ARI,-4.163336342344337e-17,-5.551115123125783e-17,4,1,1.3877787807814457e-17,0,0,2,2,0,0,0,0,0.3424215371845577,-2.5,-4.5,45.0,49.5,-2.0,4.5,17,42.0,14.0,28.0,56.0,0,0,-4.0,True,HOME,2.0,LOSS
2024_04_NE_SF,2024,4,NE,SF,0.0,-5.551115123125783e-17,3,0,5.551115123125783e-17,0,1,1,5,0,0,0,0,1.332403186002306,-11.5,-9.5,45.0,41.0,2.0,-4.0,17,13.0,30.0,-17.0,43.0,1,0,-13.0,True,HOME,-2.0,WIN
2024_04_KC_LAC,2024,4,KC,LAC,-8.326672684688674e-17,0.0,3,2,-8.326672684688674e-17,0,0,3,1,0,0,0,0,-1.9675356433901885,3.5,4.0,46.0,43.5,0.5,-2.5,17,17.0,10.0,7.0,27.0,1,0,2.0,True,HOME,-0.5,LOSS
2024_04_CLE_LV,2024,4,CLE,LV,-5.551115123125783e-17,-2.775557561562892e-17,2,3,-2.775557561562892e-17,0,0,2,2,0,0,0,0,-0.6475601116331906,2.5,1.0,43.5,39.5,-1.5,-4.0,17,16.0,20.0,-4.0,36.0,0,0,1.0,True,HOME,1.5,WIN
2024_04_BUF_BAL,2024,4,BUF,BAL,-5.551115123125783e-17,-5.551115123125783e-17,3,3,0.0,0,0,3,2,0,0,0,0,0.0124276542453082,-3.0,-1.5,47.5,45.5,1.5,-2.0,17,10.0,35.0,-25.0,45.0,1,0,-4.5,True,HOME,-1.5,WIN
2024_04_TEN_MIA,2024,4,TEN,MIA,-5.551115123125783e-17,-2.775557561562892e-17,1,2,-2.775557561562892e-17,0,0,0,3,0,1,0,0,-0.6475601116331906,-6.5,-1.5,46.0,39.5,5.0,-6.5,17,31.0,12.0,19.0,43.0,1,0,-8.0,True,HOME,-5.0,LOSS
2024_04_SEA_DET,2024,4,SEA,DET,0.0,0.0,5,3,0.0,0,0,1,2,0,1,0,0,0.0124276542453082,-5.5,-4.0,49.0,48.5,1.5,-0.5,17,29.0,42.0,-13.0,71.0,1,0,-7.0,True,HOME,-1.5,WIN
2024_05_TB_ATL,2024,5,TB,ATL,-6.938893903907227e-17,-8.326672684688674e-17,3,4,1.3877787807814457e-17,0,0,3,1,0,0,0,0,0.3424215371845577,-3.0,-3.0,44.5,44.0,0.0,-0.5,24,30.0,36.0,-6.0,66.0,0,1,-1.5,True,AWAY,0.0,LOSS
2024_05_NYJ_MIN,2024,5,NYJ,MIN,0.0,0.0,0,0,0.0,1,1,5,5,0,0,0,0,0.0124276542453082,4.0,1.5,44.5,42.5,-2.5,-2.0,25,17.0,23.0,-6.0,40.0,0,0,2.5,True,HOME,2.5,WIN
2024_05_CAR_CHI,2024,5,CAR,CHI,0.0,-2.775557561562892e-17,2,3,2.775557561562892e-17,0,0,2,2,0,0,0,0,0.6724154201238071,-5.5,-4.0,42.0,42.0,1.5,0.0,25,10.0,36.0,-26.0,46.0,1,0,-7.0,True,HOME,-1.5,WIN
2024_05_BAL_CIN,2024,5,BAL,CIN,-5.551115123125783e-17,0.0,3,0,-5.551115123125783e-17,0,1,3,5,0,0,0,0,-1.307547877511689,-1.5,1.0,46.5,47.0,2.5,0.5,25,41.0,38.0,3.0,79.0,1,0,-3.0,True,HOME,-2.5,LOSS
