week,game,bet_type,bet_side,line,edge,stake,result,profit,actual_margin,actual_total,predicted_margin,predicted_total,confidence
5,MIA@CAR,spread,away,1.181818181818182,1.3494172252631367,56.66666666666668,LOSS,-56.66666666666668,3,51,-0.16759904344495458,46.850380748085556,0.5666666666666668
5,MIA@CAR,total,over,44.45454545454545,2.3958352935401024,56.66666666666668,WIN,51.51000000000001,3,51,-0.16759904344495458,46.850380748085556,0.5666666666666668
5,HOU@BAL,spread,away,1.7727272727272727,3.024099682119503,65.0,WIN,59.085,-34,54,-1.2513724093922305,42.23358381785219,0.65
5,HOU@BAL,total,over,40.59090909090909,1.642674726943099,65.0,WIN,59.085,-34,54,-1.2513724093922305,42.23358381785219,0.65
5,TEN@ARI,spread,home,-7.727272727272728,6.0185419602036125,65.0,WIN,59.085,-1,43,-1.7087307670691159,42.3975486338651,0.65
5,TB@SEA,spread,home,-3.5,2.6567023119383726,61.66666666666667,WIN,56.05500000000001,-3,73,-0.8432976880616274,49.728229820156635,0.6166666666666667
5,TB@SEA,total,over,44.59090909090909,5.137320729247541,61.66666666666667,WIN,56.05500000000001,-3,73,-0.8432976880616274,49.728229820156635,0.6166666666666667
5,DET@CIN,spread,away,10.363636363636363,3.304032247274616,58.333333333333336,WIN,53.025000000000006,-13,61,7.059604116361747,55.92063592204408,0.5833333333333334
5,DET@CIN,total,over,49.40909090909091,6.511545012953171,58.333333333333336,WIN,53.025000000000006,-13,61,7.059604116361747,55.92063592204408,0.5833333333333334
5,NE@BUF,spread,home,-8.181818181818182,2.785295132097062,58.333333333333336,WIN,53.025000000000006,-3,43,-5.39652304972112,51.01817350329104,0.5833333333333334
5,NE@BUF,total,over,48.86363636363637,2.1545371396546713,58.333333333333336,LOSS,-58.333333333333336,-3,43,-5.39652304972112,51.01817350329104,0.5833333333333334
5,KC@JAX,spread,away,3.409090909090909,4.830115393106042,65.0,WIN,59.085,3,59,-1.421024484015133,50.984827285142146,0.65
5,KC@JAX,total,over,46.36363636363637,4.621190921505779,65.0,WIN,59.085,3,59,-1.421024484015133,50.984827285142146,0.65
6,PHI@NYG,spread,away,7.454545454545454,3.0982421941582174,58.333333333333336,LOSS,-58.333333333333336,17,51,4.356303260387237,44.59192109856074,0.5833333333333334
6,PHI@NYG,total,over,40.5,4.091921098560739,58.333333333333336,WIN,53.025000000000006,17,51,4.356303260387237,44.59192109856074,0.5833333333333334
