week,away,home,spread,total,line_type,timestamp
1,IND,KC,-9.5,45.5,opening,2025-11-23T18:00:00Z
1,SEA,TEN,1.5,44.5,opening,2025-11-23T18:00:00Z
1,JAX,ARI,-3.0,47.5,opening,2025-11-23T21:05:00Z
1,CLE,LV,-3.5,41.5,opening,2025-11-23T21:05:00Z
1,ATL,NO,1.5,43.5,opening,2025-11-23T21:25:00Z
1,PHI,DAL,5.5,46.5,opening,2025-11-23T21:25:00Z
1,TB,LA,-2.5,47.5,opening,2025-11-24T01:20:00Z
1,CAR,SF,-7.0,46.5,opening,2025-11-25T01:15:00Z
1,GB,DET,-2.5,48.5,opening,2025-11-27T18:00:00Z
1,KC,DAL,5.5,47.5,opening,2025-11-27T21:30:00Z
1,CIN,BAL,-5.5,49.5,opening,2025-11-28T01:20:00Z
1,CHI,PHI,-7.0,46.5,opening,2025-11-28T20:00:00Z
1,ARI,TB,-3.5,48.5,opening,2025-11-30T18:00:00Z
1,ATL,NYJ,1.5,43.5,opening,2025-11-30T18:00:00Z
1,LA,CAR,3.5,45.5,opening,2025-11-30T18:00:00Z
1,SF,CLE,6.0,42.5,opening,2025-11-30T18:00:00Z
1,HOU,IND,1.5,44.5,opening,2025-11-30T18:00:00Z
1,JAX,TEN,1.5,45.5,opening,2025-11-30T18:00:00Z
1,NO,MIA,-6.0,44.5,opening,2025-11-30T18:00:00Z
1,MIN,SEA,-1.5,43.5,opening,2025-11-30T21:05:00Z
1,BUF,PIT,4.5,46.5,opening,2025-11-30T21:25:00Z
1,LV,LAC,-6.5,44.5,opening,2025-11-30T21:25:00Z
1,DEN,WAS,-2.5,46.5,opening,2025-12-01T01:20:00Z
1,NYG,NE,-3.0,42.5,opening,2025-12-02T01:15:00Z
1,DAL,DET,-6.0,48.5,opening,2025-12-05T01:15:00Z
1,SEA,ATL,-1.5,45.5,opening,2025-12-07T18:00:00Z
1,PIT,BAL,-8.5,46.5,opening,2025-12-07T18:00:00Z
1,CHI,GB,-3.5,46.5,opening,2025-12-07T18:00:00Z
1,TEN,CLE,-1.5,41.5,opening,2025-12-07T18:00:00Z
1,IND,JAX,-3.0,46.5,opening,2025-12-07T18:00:00Z
1,MIA,NYJ,1.5,43.5,opening,2025-12-07T18:00:00Z
1,WAS,MIN,1.5,47.5,opening,2025-12-07T18:00:00Z
1,NO,TB,-9.5,45.5,opening,2025-12-07T18:00:00Z
1,DEN,LV,3.5,43.5,opening,2025-12-07T21:05:00Z
1,LA,ARI,1.5,47.5,opening,2025-12-07T21:25:00Z
1,CIN,BUF,-5.5,49.5,opening,2025-12-07T21:25:00Z
1,HOU,KC,-6.5,45.5,opening,2025-12-08T01:20:00Z
1,PHI,LAC,2.5,45.5,opening,2025-12-09T01:15:00Z
1,ATL,TB,-5.5,47.5,opening,2025-12-12T01:15:00Z
1,ARI,HOU,-2.5,45.5,opening,2025-12-14T18:00:00Z
1,BAL,CIN,2.5,49.5,opening,2025-12-14T18:00:00Z
1,BUF,NE,4.5,46.5,opening,2025-12-14T18:00:00Z
1,CLE,CHI,-7.0,42.5,opening,2025-12-14T18:00:00Z
1,NYJ,JAX,-4.5,43.5,opening,2025-12-14T18:00:00Z
1,LAC,KC,-4.5,45.5,opening,2025-12-14T18:00:00Z
1,LV,PHI,-10.5,44.5,opening,2025-12-14T18:00:00Z
1,WAS,NYG,4.5,45.5,opening,2025-12-14T18:00:00Z
1,CAR,NO,1.5,43.5,opening,2025-12-14T21:25:00Z
1,GB,DEN,-1.5,44.5,opening,2025-12-14T21:25:00Z
1,DET,LA,1.5,48.5,opening,2025-12-14T21:25:00Z
1,IND,SEA,-3.5,44.5,opening,2025-12-14T21:25:00Z
1,TEN,SF,-7.5,45.5,opening,2025-12-14T21:25:00Z
1,MIN,DAL,2.5,45.5,opening,2025-12-15T01:20:00Z
1,MIA,PIT,-3.0,44.5,opening,2025-12-16T01:15:00Z
1,LA,SEA,1.5,44.5,opening,2025-12-19T01:15:00Z
1,GB,CHI,2.5,45.5,opening,2025-12-20T18:00:00Z
1,PHI,WAS,1.5,47.5,opening,2025-12-20T20:00:00Z
1,NE,BAL,-8.5,46.5,opening,2025-12-21T18:00:00Z
1,BUF,CLE,8.5,43.5,opening,2025-12-21T18:00:00Z
1,TB,CAR,3.5,47.5,opening,2025-12-21T18:00:00Z
1,LAC,DAL,2.5,46.5,opening,2025-12-21T18:00:00Z
1,KC,TEN,7.0,44.5,opening,2025-12-21T18:00:00Z
1,MIN,NYG,2.5,42.5,opening,2025-12-21T18:00:00Z
1,NYJ,NO,-1.5,41.5,opening,2025-12-21T18:00:00Z
1,ATL,ARI,-3.5,46.5,opening,2025-12-21T21:05:00Z
1,JAX,DEN,-5.5,45.5,opening,2025-12-21T21:05:00Z
1,PIT,DET,-6.0,45.5,opening,2025-12-21T21:25:00Z
1,LV,HOU,-4.5,43.5,opening,2025-12-21T21:25:00Z
1,CIN,MIA,1.5,48.5,opening,2025-12-22T01:20:00Z
1,SF,IND,3.0,46.5,opening,2025-12-23T01:15:00Z
1,DAL,WAS,-5.5,48.5,opening,2025-12-25T18:00:00Z
1,DET,MIN,2.5,46.5,opening,2025-12-25T21:30:00Z
1,DEN,KC,-4.5,44.5,opening,2025-12-26T01:15:00Z
1,ARI,CIN,-3.5,47.5,opening,2025-12-28T18:00:00Z
1,BAL,GB,1.5,46.5,opening,2025-12-28T18:00:00Z
1,SEA,CAR,1.5,43.5,opening,2025-12-28T18:00:00Z
1,PIT,CLE,2.5,40.5,opening,2025-12-28T18:00:00Z
1,HOU,LAC,-3.5,43.5,opening,2025-12-28T18:00:00Z
1,JAX,IND,-1.5,45.5,opening,2025-12-28T18:00:00Z
1,TB,MIA,1.5,47.5,opening,2025-12-28T18:00:00Z
1,NE,NYJ,1.5,41.5,opening,2025-12-28T18:00:00Z
1,NO,TEN,-3.5,42.5,opening,2025-12-28T18:00:00Z
1,PHI,BUF,-1.5,46.5,opening,2025-12-28T21:25:00Z
1,NYG,LV,-2.5,42.5,opening,2025-12-28T21:25:00Z
1,CHI,SF,-3.5,46.5,opening,2025-12-29T01:20:00Z
1,LA,ATL,3.0,46.5,opening,2025-12-30T01:20:00Z
1,ARI,LA,-4.5,45.5,opening,2026-01-04T18:00:00Z
1,CAR,TB,-7.0,46.5,opening,2026-01-04T18:00:00Z
1,CLE,CIN,-8.5,43.5,opening,2026-01-04T18:00:00Z
1,GB,MIN,1.5,44.5,opening,2026-01-04T18:00:00Z
1,TEN,JAX,-4.5,43.5,opening,2026-01-04T18:00:00Z
1,SEA,SF,-4.5,44.5,opening,2026-01-04T18:00:00Z
1,LAC,DEN,-2.5,42.5,opening,2026-01-04T21:05:00Z
1,MIN,CHI,1.5,43.5,closing,2025-09-09T00:15:00Z
1,WAS,GB,-3.5,48.5,closing,2025-09-12T00:16:00Z
1,LA,TEN,6.0,41.5,closing,2025-09-14T16:01:00Z
1,SEA,PIT,-2.5,40.5,closing,2025-09-14T16:01:00Z
1,JAX,CIN,-3.5,50.5,closing,2025-09-14T17:00:00Z
1,NYG,DAL,-6.0,44.5,closing,2025-09-14T17:00:00Z
1,NE,MIA,-1.5,44.5,closing,2025-09-14T17:00:00Z
1,CLE,BAL,-11.5,44.5,closing,2025-09-14T17:01:00Z
1,BUF,NYJ,6.5,45.5,closing,2025-09-14T17:01:00Z
1,CHI,DET,-5.5,47.5,closing,2025-09-14T17:01:00Z
1,SF,NO,6.5,43.5,closing,2025-09-14T17:01:00Z
1,DEN,IND,2.5,42.5,closing,2025-09-14T19:06:00Z
1,CAR,ARI,-6.5,44.5,closing,2025-09-14T20:05:00Z
1,PHI,KC,-1.5,46.5,closing,2025-09-14T20:25:00Z
1,ATL,MIN,-4.5,45.5,closing,2025-09-14T23:21:00Z
1,TB,HOU,-3.0,42.5,closing,2025-09-15T22:01:00Z
1,LAC,LV,3.5,46.5,closing,2025-09-16T02:00:00Z
2,WAS,GB,-3.5,48.5,opening,2025-09-12T00:16:00Z
2,CHI,DET,-6.0,46.5,opening,2025-09-14T17:00:00Z
2,JAX,CIN,-3.5,48.5,opening,2025-09-14T17:00:00Z
2,NYG,DAL,-4.5,44.5,opening,2025-09-14T17:00:00Z
2,NE,MIA,-1.5,43.5,opening,2025-09-14T17:00:00Z
2,CLE,BAL,-11.5,44.5,opening,2025-09-14T17:01:00Z
2,BUF,NYJ,6.5,46.5,opening,2025-09-14T17:01:00Z
2,LA,TEN,5.5,41.5,opening,2025-09-14T17:01:00Z
2,SF,NO,3.0,40.5,opening,2025-09-14T17:01:00Z
2,SEA,PIT,-3.0,39.5,opening,2025-09-14T17:01:00Z
2,CAR,ARI,-6.5,43.5,opening,2025-09-14T20:05:00Z
2,DEN,IND,1.5,42.5,opening,2025-09-14T20:06:00Z
2,PHI,KC,1.5,46.5,opening,2025-09-14T20:25:00Z
2,ATL,MIN,-3.5,44.5,opening,2025-09-15T00:20:00Z
2,TB,HOU,-2.5,42.5,opening,2025-09-15T23:01:00Z
2,LAC,LV,3.0,46.5,opening,2025-09-16T02:00:00Z
2,MIA,BUF,-10.0,48.5,opening,2025-09-18T23:16:00Z
2,ATL,CAR,2.5,44.5,opening,2025-09-21T16:01:00Z
2,CIN,MIN,-1.5,46.5,opening,2025-09-21T16:01:00Z
2,GB,CLE,7.5,43.5,opening,2025-09-21T16:01:00Z
2,HOU,JAX,1.5,43.5,opening,2025-09-21T16:01:00Z
2,IND,TEN,1.5,43.5,opening,2025-09-21T16:01:00Z
2,LV,WAS,-6.5,47.5,opening,2025-09-21T16:01:00Z
2,LA,PHI,-4.5,45.5,opening,2025-09-21T16:01:00Z
2,PIT,NE,1.5,42.5,opening,2025-09-21T16:01:00Z
2,NYJ,TB,-6.0,44.5,opening,2025-09-21T16:01:00Z
2,DEN,LAC,-1.5,43.5,opening,2025-09-21T19:06:00Z
2,NO,SEA,-7.0,41.5,opening,2025-09-21T19:06:00Z
2,DAL,CHI,-2.5,46.5,opening,2025-09-21T19:26:00Z
2,ARI,SF,-1.5,42.5,opening,2025-09-21T20:25:00Z
2,KC,NYG,6.0,42.5,opening,2025-09-21T23:21:00Z
2,DET,BAL,-6.0,51.5,opening,2025-09-22T23:16:00Z
2,TB,HOU,-2.5,42.5,closing,2025-09-15T23:01:00Z
2,LAC,LV,3.5,46.5,closing,2025-09-16T02:00:00Z
2,MIA,BUF,-12.5,49.5,closing,2025-09-19T00:15:00Z
2,ATL,CAR,3.5,43.5,closing,2025-09-21T17:00:00Z
2,CIN,MIN,-4.5,42.5,closing,2025-09-21T17:00:00Z
2,GB,CLE,9.5,42.5,closing,2025-09-21T17:00:00Z
2,HOU,JAX,-1.5,43.5,closing,2025-09-21T17:00:00Z
2,LV,WAS,-6.0,47.5,closing,2025-09-21T17:00:00Z
2,PIT,NE,1.5,44.5,closing,2025-09-21T17:00:00Z
2,NYJ,TB,-7.0,44.5,closing,2025-09-21T17:00:00Z
2,IND,TEN,3.0,43.5,closing,2025-09-21T17:01:00Z
2,LA,PHI,-3.5,45.5,closing,2025-09-21T17:01:00Z
2,NO,SEA,-7.5,41.5,closing,2025-09-21T20:05:00Z
2,DEN,LAC,-2.5,45.5,closing,2025-09-21T20:06:00Z
2,DAL,CHI,-1.5,49.5,closing,2025-09-21T20:25:00Z
2,ARI,SF,-1.5,43.5,closing,2025-09-21T20:26:00Z
2,KC,NYG,5.5,44.5,closing,2025-09-22T00:21:00Z
2,DET,BAL,-6.0,51.5,closing,2025-09-23T00:15:00Z
3,MIA,BUF,-12.5,49.5,opening,2025-09-19T00:15:00Z
3,ATL,CAR,5.5,43.5,opening,2025-09-21T17:00:00Z
3,CIN,MIN,-3.0,42.5,opening,2025-09-21T17:00:00Z
3,GB,CLE,8.5,41.5,opening,2025-09-21T17:00:00Z
3,HOU,JAX,-1.5,43.5,opening,2025-09-21T17:00:00Z
3,LV,WAS,-3.5,44.5,opening,2025-09-21T17:00:00Z
3,PIT,NE,1.5,44.5,opening,2025-09-21T17:00:00Z
3,NYJ,TB,-7.0,43.5,opening,2025-09-21T17:00:00Z
3,IND,TEN,4.5,43.5,opening,2025-09-21T17:01:00Z
3,LA,PHI,-3.5,44.5,opening,2025-09-21T17:01:00Z
3,DEN,LAC,-2.5,45.5,opening,2025-09-21T20:05:00Z
3,NO,SEA,-7.0,41.5,opening,2025-09-21T20:05:00Z
3,DAL,CHI,1.5,50.5,opening,2025-09-21T20:25:00Z
3,ARI,SF,-3.0,44.5,opening,2025-09-21T20:26:00Z
3,KC,NYG,6.0,45.5,opening,2025-09-22T00:21:00Z
3,DET,BAL,-4.5,53.5,opening,2025-09-23T00:15:00Z
3,SEA,ARI,-1.5,43.5,opening,2025-09-26T00:16:00Z
